1;360
2;15525
3;147
4;5051
5;1186
6;2628
7;785
8;3
9;1768
10;39
11;6957
12;286
13;37
14;78
15;40
1;7
2;181
3;3
4;95
5;20
6;68
7;20
8;0
9;19
10;3
11;173
12;0
13;1
14;0
15;3
1;5
2;145
3;7
4;64
5;26
6;79
7;13
8;0
9;13
10;0
11;116
12;4
13;0
14;0
15;1
1;19
2;195
3;2
4;122
5;21
6;103
7;18
8;0
9;16
10;1
11;133
12;4
13;0
14;4
15;1
1;116
2;416
3;5
4;69
5;24
6;112
7;18
8;0
9;28
10;1
11;121
12;7
13;0
14;5
15;0
1;8
2;126
3;3
4;83
5;22
6;64
7;13
8;0
9;12
10;2
11;121
12;10
13;1
14;1
15;1
1;3
2;66
3;3
4;36
5;7
6;27
7;11
8;0
9;17
10;0
11;56
12;1
13;0
14;4
15;0
1;9
2;115
3;2
4;69
5;9
6;53
7;11
8;0
9;4
10;1
11;90
12;2
13;1
14;1
15;0
1;6
2;140
3;4
4;106
5;6
6;80
7;17
8;0
9;48
10;3
11;118
12;2
13;0
14;1
15;0
1;31
2;67
3;0
4;28
5;6
6;38
7;3
8;0
9;4
10;1
11;30
12;4
13;1
14;0
15;0
1;78
2;158
3;10
4;31
5;11
6;35
7;16
8;4
9;13
10;0
11;25
12;0
13;0
14;0
15;0
1;10
2;271
3;4
4;89
5;35
6;133
7;19
8;0
9;46
10;2
11;176
12;15
13;1
14;4
15;2
1;8
2;180
3;1
4;77
5;14
6;77
7;9
8;0
9;19
10;0
11;144
12;4
13;0
14;0
15;0
1;0
2;21
3;0
4;16
5;2
6;12
7;5
8;0
9;0
10;0
11;9
12;0
13;0
14;0
15;0
1;7
2;162
3;6
4;115
5;19
6;91
7;24
8;0
9;19
10;2
11;120
12;5
13;3
14;2
15;4
1;7
2;97
3;6
4;46
5;10
6;41
7;9
8;0
9;16
10;1
11;84
12;2
13;1
14;0
15;1
1;3
2;73
3;1
4;33
5;7
6;26
7;4
8;0
9;13
10;1
11;58
12;1
13;0
14;2
15;0
1;4
2;43
3;1
4;50
5;6
6;18
7;6
8;0
9;2
10;0
11;74
12;0
13;0
14;1
15;0
1;7
2;76
3;3
4;70
5;4
6;58
7;9
8;0
9;12
10;0
11;66
12;1
13;1
14;0
15;1
1;9
2;288
3;5
4;106
5;17
6;111
7;17
8;0
9;85
10;4
11;239
12;2
13;2
14;4
15;2
1;3
2;87
3;1
4;57
5;8
6;77
7;10
8;0
9;13
10;1
11;103
12;6
13;0
14;0
15;1
1;80
2;290
3;5
4;93
5;27
6;69
7;31
8;2
9;39
10;2
11;102
12;8
13;3
14;2
15;3
1;26
2;136
3;2
4;60
5;16
6;32
7;19
8;0
9;32
10;0
11;57
12;2
13;0
14;0
15;1
1;2
2;25
3;0
4;14
5;1
6;11
7;3
8;0
9;0
10;0
11;33
12;0
13;0
14;1
15;0
1;49
2;219
3;1
4;49
5;10
6;29
7;16
8;2
9;31
10;0
11;59
12;0
13;1
14;0
15;0
1;101
2;285
3;4
4;54
5;9
6;43
7;14
8;1
9;18
10;5
11;39
12;3
13;3
14;2
15;0
1;2
2;52
3;0
4;24
5;8
6;12
7;7
8;0
9;4
10;0
11;72
12;1
13;1
14;0
15;0
1;41
2;97
3;2
4;44
5;7
6;46
7;11
8;0
9;5
10;1
11;26
12;0
13;0
14;0
15;1
1;14
2;305
3;6
4;162
5;39
6;158
7;26
8;0
9;35
10;0
11;286
12;5
13;1
14;4
15;1
1;10
2;61
3;1
4;82
5;16
6;49
7;18
8;0
9;10
10;2
11;73
12;2
13;1
14;0
15;0
1;6
2;129
3;3
4;77
5;7
6;50
7;5
8;0
9;12
10;0
11;135
12;2
13;0
14;3
15;0
1;7
2;140
3;6
4;85
5;14
6;39
7;23
8;0
9;50
10;0
11;86
12;3
13;2
14;0
15;1
1;5
2;168
3;4
4;89
5;14
6;59
7;12
8;0
9;48
10;2
11;104
12;6
13;1
14;1
15;0
1;6
2;55
3;4
4;34
5;0
6;26
7;5
8;0
9;4
10;1
11;29
12;1
13;0
14;1
15;1
1;2
2;45
