1;Bela;Bugar
2;Zuzana;Caputova
3;Martin;Dano
4;Stefan;Harabin
5;Eduard;Chmelar
6;Marian;Kotleba
7;Milan;Krajniak
8;Jozsef;Menyhart
9;Frantisek;Miklosko
10;Robert;Mistrik
11;Maros;Sefcovic
12;Robert;Svec
13;Bohumila;Tauchmannova
14;Juraj;Zabojnik
15;Ivan;Zuzula
