3357;1129;1129;1117
1249;465;465;464
546;337;337;334
1403;571;571;559
907;268;268;264
1503;715;715;710
1612;1002;1002;993
1339;485;485;484
2650;645;645;645
2637;1271;1271;1259
530;256;256;253
1443;735;735;725
1255;658;658;648
2270;440;440;436
13365;6528;6528;6495
4405;1783;1783;1780
17983;8715;8712;8655
390;192;192;189
1468;822;822;820
3451;1555;1555;1547
3107;999;999;995
1331;389;389;384
694;369;369;367
2250;932;931;927
3214;973;973;969
1743;637;637;633
2131;787;787;780
3766;1573;1573;1565
1122;562;562;559
1365;660;660;658
2711;719;719;717
967;348;348;346
689;301;301;300
1411;386;386;385
16558;7941;7941;7904
170;97;97;96
1327;572;572;569
3259;1456;1456;1449
806;419;419;415
4247;2083;2083;2071
1945;834;834;828
361;208;208;206
958;570;570;568
1021;430;430;428
476;311;311;304
1002;526;526;513
522;301;301;301
4202;2047;2047;2040
778;424;424;424
9233;4545;4544;4511
580;333;333;332
302;180;180;179
306;175;175;175
1858;908;908;905
428;245;245;245
515;286;286;285
2056;958;958;957
375;239;239;239
576;339;339;339
126;81;81;80
626;180;180;179
3991;2151;2151;2128
936;433;433;431
413;253;253;252
257;191;191;191
1110;445;445;438
584;325;325;323
1801;933;933;928
9587;4823;4823;4791
307;228;228;228
487;192;192;191
870;499;499;497
586;313;313;310
622;398;398;394
510;264;264;264
524;300;300;298
336;173;173;171
749;376;376;374
597;319;319;316
314;162;162;160
614;358;358;356
409;256;256;254
810;466;466;463
454;246;246;245
1456;866;866;860
2889;1357;1357;1350
350;236;236;233
662;353;353;348
12717;6377;6364;6322
749;448;448;444
539;344;344;342
1237;731;731;727
1340;724;724;720
659;413;413;412
1438;686;686;685
920;454;454;450
4122;1826;1826;1819
1300;620;620;613
243;155;155;155
998;569;569;567
3036;1367;1367;1356
654;370;369;368
1233;592;592;584
2367;991;991;986
21734;10523;10522;10482
275;156;156;155
1509;724;723;718
136;87;87;87
193;126;126;126
322;210;210;210
343;175;175;174
441;229;229;227
443;238;238;238
229;153;153;153
503;259;259;257
506;308;308;307
366;210;210;208
274;167;167;165
1028;551;551;547
636;371;371;368
282;144;144;142
39;20;20;20
707;338;338;337
663;316;316;315
18533;9099;9096;9053
393;216;216;215
421;227;227;227
248;140;140;139
725;392;392;390
1750;901;901;898
260;156;156;156
1237;584;584;575
502;292;292;292
1643;864;864;860
443;231;231;231
447;283;283;281
1229;620;620;616
1088;566;566;563
343;199;199;197
166;97;97;97
2072;1157;1157;1146
447;224;224;223
423;189;189;184
129;64;64;64
420;190;190;189
627;355;355;351
430;249;249;248
43;32;32;32
391;165;165;165
1291;742;742;739
38;32;32;32
1186;606;606;603
598;324;324;322
478;250;250;250
396;217;217;217
485;226;226;224
1718;811;811;808
1660;897;895;892
773;422;422;419
