1;Bratislavskı kraj;101;Bratislava I;528595;Bratislava - Staré Mesto;39187;24952;24931;24836;39060;24191;24183;23847
1;Bratislavskı kraj;102;Bratislava II;529311;Bratislava - Podunajské Biskupice;20042;10378;10375;10271;19882;9442;9429;9314
1;Bratislavskı kraj;102;Bratislava II;529320;Bratislava - Ruinov;66641;40628;40605;40452;66102;38489;38479;37929
1;Bratislavskı kraj;102;Bratislava II;529338;Bratislava - Vrakuòa;17536;8954;8953;8916;17351;8144;8143;8015
1;Bratislavskı kraj;103;Bratislava III;529346;Bratislava - Nové Mesto;35131;21726;21719;21629;34914;20758;20750;20443
1;Bratislavskı kraj;103;Bratislava III;529354;Bratislava - Raèa;19953;11768;11759;11710;19908;11173;11171;11008
1;Bratislavskı kraj;103;Bratislava III;529362;Bratislava - Vajnory;4649;2877;2877;2863;4641;2678;2678;2642
1;Bratislavskı kraj;104;Bratislava IV;529401;Bratislava - Devín;1405;957;956;952;1429;902;902;877
1;Bratislavskı kraj;104;Bratislava IV;529371;Bratislava - Devínska Nová Ves;14162;8244;8236;8205;14090;7509;7507;7382
1;Bratislavskı kraj;104;Bratislava IV;529389;Bratislava - Dúbravka;31278;17572;17567;17491;31022;16404;16400;16151
1;Bratislavskı kraj;104;Bratislava IV;529397;Bratislava - Karlova Ves;30273;18848;18836;18769;29833;17662;17661;17412
1;Bratislavskı kraj;104;Bratislava IV;529419;Bratislava - Lamaè;6198;4078;4078;4065;6145;3781;3781;3703
1;Bratislavskı kraj;104;Bratislava IV;529427;Bratislava - Záhorská Bystrica;4338;3001;2999;2987;4358;2834;2834;2800
1;Bratislavskı kraj;105;Bratislava V;529435;Bratislava - Èunovo;1212;866;866;863;1201;826;826;815
1;Bratislavskı kraj;105;Bratislava V;529443;Bratislava - Jarovce;2055;1430;1430;1426;2097;1397;1397;1380
1;Bratislavskı kraj;105;Bratislava V;529460;Bratislava - Petralka;94260;53855;53826;53648;94269;50162;50134;49417
1;Bratislavskı kraj;105;Bratislava V;529494;Bratislava - Rusovce;3371;2230;2221;2210;3375;2148;2148;2125
1;Bratislavskı kraj;106;Malacky;507831;Borinka;644;412;412;412;661;388;388;380
1;Bratislavskı kraj;106;Malacky;507890;Gajary;2468;1018;1018;1013;2449;826;826;810
1;Bratislavskı kraj;106;Malacky;507954;Jablonové;1074;638;638;635;1080;560;560;553
1;Bratislavskı kraj;106;Malacky;507962;Jakubov;1326;660;659;656;1331;584;584;578
1;Bratislavskı kraj;106;Malacky;508012;Kostolište;1223;687;687;682;1237;600;600;587
1;Bratislavskı kraj;106;Malacky;508021;Kuchyòa;1444;738;738;731;1450;624;624;610
1;Bratislavskı kraj;106;Malacky;508039;Láb;1502;882;882;878;1498;747;747;731
1;Bratislavskı kraj;106;Malacky;508055;Lozorno;2556;1275;1275;1266;2550;1159;1159;1137
1;Bratislavskı kraj;106;Malacky;508063;Malacky;15201;7764;7763;7724;15211;6691;6687;6571
1;Bratislavskı kraj;106;Malacky;504556;Malé Leváre;1110;445;445;438;1122;364;364;360
1;Bratislavskı kraj;106;Malacky;508080;Marianka;1635;1104;1104;1104;1755;1056;1056;1043
1;Bratislavskı kraj;106;Malacky;508161;Pernek;723;393;393;392;732;323;323;306
1;Bratislavskı kraj;106;Malacky;504629;Plavecké Podhradie;586;313;313;310;574;298;298;295
1;Bratislavskı kraj;106;Malacky;504637;Plaveckı Mikuláš;622;398;398;394;635;319;319;307
1;Bratislavskı kraj;106;Malacky;508195;Plaveckı Štvrtok;1979;868;868;864;1996;803;803;793
1;Bratislavskı kraj;106;Malacky;504769;Rohoník;2889;1357;1357;1350;2882;1167;1167;1128
1;Bratislavskı kraj;106;Malacky;504858;Sološnica;1340;724;724;720;1372;672;672;660
1;Bratislavskı kraj;106;Malacky;504874;Studienka;1438;686;686;685;1427;588;588;585
1;Bratislavskı kraj;106;Malacky;508233;Stupava;9249;5630;5626;5604;9285;5156;5156;5087
1;Bratislavskı kraj;106;Malacky;508241;Suchohrad;581;293;293;292;594;247;247;245
1;Bratislavskı kraj;106;Malacky;504947;Ve¾ké Leváre;3036;1367;1367;1356;3030;1134;1134;1112
1;Bratislavskı kraj;106;Malacky;508349;Vysoká pri Morave;1840;902;902;899;1829;752;752;743
1;Bratislavskı kraj;106;Malacky;500267;Záhorie (vojenskı obvod);140;66;66;65;144;53;53;44
1;Bratislavskı kraj;106;Malacky;508365;Záhorská Ves;1497;560;560;556;1498;476;476;472
1;Bratislavskı kraj;106;Malacky;504980;Závod;2367;991;991;986;2353;829;829;822
1;Bratislavskı kraj;106;Malacky;508381;Zohor;2700;1417;1417;1413;2711;1306;1306;1288
1;Bratislavskı kraj;107;Pezinok;507806;Báhoò;1532;868;868;864;1530;765;765;750
1;Bratislavskı kraj;107;Pezinok;507849;Budmerice;1944;1066;1066;1058;1944;923;923;905
1;Bratislavskı kraj;107;Pezinok;507857;Èastá;1908;1110;1110;1106;1908;926;926;914
1;Bratislavskı kraj;107;Pezinok;507873;Do¾any;903;622;622;619;889;522;522;506
1;Bratislavskı kraj;107;Pezinok;507881;Dubová;927;595;595;591;926;496;496;488
1;Bratislavskı kraj;107;Pezinok;507946;Jablonec;801;458;458;456;797;365;365;358
1;Bratislavskı kraj;107;Pezinok;508047;Limbach;1667;1140;1140;1140;1643;1029;1029;1022
1;Bratislavskı kraj;107;Pezinok;508101;Modra;7805;4711;4709;4695;7748;4256;4253;4194
1;Bratislavskı kraj;107;Pezinok;508179;Pezinok;19823;12520;12518;12471;19812;11464;11460;11308
